,Date,Type,Operator,Fatalities,Route,Location,Country,Summary,rtva2
4951,9/27/2003,Piper PA31-310,Les Ailes de Gaspé Inc.,3.0,Gaspé - Îles-de-la-Madeleine,"Gaspé, Quebec, Canada",Canada,"Cashed as it approached Gaspé in fog and low ceiling. The pilot descended to the minimum descent altitude (MDA) without being established on the localizer track, thereby placing himself in a precarious situation with respect to the approach and to obstruction clearance. On an instrument approach, the pilot continued his descent below the MDA without having the visual references required to continue the landing, and he was a victim of CFIT (controlled flight into terrain).",7
4952,10/3/2003,EMB 721C Sertanejo,Air taxi - Rumo Notre Air Taxi,4.0,Sao Gabriel de Cachoeria - Yauarete,Sao Gabriel de Cachoeria,Sao Gabriel de Cachoeria,"The plane disappeared shortly after taking off. Wreckage was found at  2 miles south of Gabriel’s runaway,  in the Amazon forest, 2 days later.  Mechanical failure after the takoff.  Remote area without ATC or radar.",0
4953,10/3/2003,Convair CV-580F,Air Freight New Zealand,2.0,Christchurch - Palmerston North,"Off Waikanae, New Zealand",New Zealand,"While at crusing altitude, one hour after taking off, the aircraft suddenly exploded in midair for unknown reasons.",12
4954,10/11/2003,Antonov AN-2TP,Transmandu,1.0,,"Uriman, Venezuela",Venezuela,Crashed into the Caroni River shortly after taking off.,10
4955,10/26/2003,Fairchild Hiller FH-227B,CATA Linea Aerea,5.0,,"Buenos Aires, Argentina",Argentina,Three minutes after taking off from Buenos Aires Airport the crew reported a technical problem and asked to turn around. They were cleared to land on Runway 17 but crashed 30 km southwest of Buenos Aires.,10
4956,10/27/2003,Hawker 800A,Aeroextra,3.0,Tampico - Las Potrancas Ranch Airstrip,"Tampico, Mexico",Mexico,"While on approach on a positioning flight,  in poor weather, the crew decided to go-around turned left and struck a 1,600 ft. hill.",7
4957,10/29/2003,Cessna 208B Caravan I Super Cargomaster,FedEx,1.0,Casper - Cody,"Cody, Wyoming",USA,"While on approach after an 18 minute holding pattern the cargo plane crashed in a snowstorm on a highway  before coming to rest in Alkali Lake located short of runway. The pilot's failure to maintain aircraft control. Contributing factors include the pilot's failure to divert to an alternate airport, an inadvertent stall, and the snow and icing conditions.",8
4958,11/2/2003,CH-47 Chinook,Military - U.S. Army,15.0,Fallujah - Baghdad,"Near Hasi, Iraq",Iraq,The helicopter crashed into a corn field while ferrying troops from Fallujah to Baghdad. The CH-47 helicopter belonged to the 12th Aviation Brigade. The helicopter was shot down by a shoulder-fired missile.,5
4959,11/8/2003,Shorts SC-7 Skyvan 3M Variant 100,Trans Guyana Airways,2.0,"Ogle, Guyana - Ekereku, Guyana","Near Ogle, Guyana",Guyana,The right engine failed one minute after takeoff. The pilot declared an emergency and made a forced landing in a cane field. The plane hit a ridge and slid approximately 100 ft. before coming to rest. A flight attendant and one passenger received fatal injuries.,7
4960,11/8/2003,Robertson R44 helicopter,Heliwork WA Pty Ltd. - Air Taxi,4.0,,"200 miles NE of Derby, Australia",Australia,The helicopter crashed in the remote outback after colliding with terrain. The helicopter was destroyed in the post crash fire. Visual meteorological conditions prevailed at the time of the accident.,10
4961,11/29/2003,Swearingen SA227AT Merlin IVC,Ameriflight,1.0,Seattle - Spokane,"Spokane, Washington",USA,"The cargo plane struck trees one mile short of the runway. The pilot-in-command's failure to maintain proper glidepath alignment during an ILS approach in poor weather resulting in collision with trees and terrain. Contributing factors were the unreliable status of the primary (NAV 1) ILS receiver (leaving the pilot with only the secondary (NAV 2) ILS receiver), the low ceilings and trees.",11
4962,11/29/2003,Antonov AN-26,Military - Congolese Air Force,20.0,"Boende, Congo - Kinshasa, Congo","Boende, Congo",Congo,The aircraft suffered a blowout of a tire while taking off for the second time after aborting the first takeoff. The pilot was not able to stop the aircraft and overran the runway and crashed into a small market square,6
4963,12/16/2003,de Havilland DHC-3 Otter,Huron Air,2.0,,"Jellicoe, Ontario, Canada",Canada,Crashed into Blackwater Lake shortly after taking off from a remote landing strip.,7
4964,12/18/2003,Douglas DC-9-15F,Líneas Aéreas Suramericanas,3.0,El Yopal - Mitu,"Mitu, Colombia",Colombia,"While on approach to , the cargo plane obtained the authorization to descend from 23,000 to 7,000 ft. but  disappeared from radar screen when it struck a mountain. Wreckage was found 5 days later.",9
4965,12/23/2003,Gates Learjet 24B,Pavair,2.0,"Chino,CA - Sun Valley, ID","Helendale, California",USA,"While en route and cruising at 24,000 ft. the crew of the cargo plane declared an emergency and tried to return to Chino Airport but the aircraft suddenly nose dived and crashed into the Mojave Desert. A loss of airplane control for undetermined reasons.",11
4966,12/25/2003,Boeing B-727-223,Union des Transports Aeriens de Guinee,140.0,"Conakry, Guinea - Cotonou, Benin - Beirut, Lebanon","Cotonou, Benin",Benin,"The B-727 was barely able to climb after taking off from Cotonou Airport. The landing gear struck a building housing electronics, crashed through the barrier fence and broke up along the shoreline adjacent to the airport. The plane was overloaded by 10 tons of cargo which was improperly distributed.",6
4967,1/3/2004,Boeing B-737-3Q8,Flash Air,148.0,"Sharm el Sheikh, Egypt - Cairo, Egypt","Off Sharm el Sheikh, Egypt",Egypt,"Shortly after taking off,  the aircraft crashed into the Red Sea, 7 miles south of the airport. There were mostly French tourists on board heading home for the holidays. Pilot spatial disorientation.",6
4968,1/13/2004,Yakovlev YAK-40,Uzbekistan Airways,37.0,Termez - Tashkent,"Tashkent, Uzbekistan",Uzbekistan,"Crashed while attempting to land in heavy fog. The aircraft struck a stanchion of approach lights and flipped over, hitting the outside of a wall surrounding the landing area.",11
4969,1/17/2004,Cessna 208B Grand Caravan,Georgia Express,10.0,"Pelee Island, Ontario - Windsor, Ontario","Lake Erie, off Pelee Island, Ontario, Canada",Canada,"he pilot reported having trouble shortly after taking off from Pelee Island. The single engine plane crashed into Lake Erie one third of a mile west of Pelee Island in snow showers and freezing rain. The plane was overloaded by 1,270 lbs. In addition, the Cessna's surfaces were laden with ice.",7
4970,1/28/2004,Beechcraft 1900D,Tassili Airlines,1.0,Hassi R'Mel - Ghardaïa,"Ghardaïa, Algeria",Algeria,"While on approach by night, the crew lost contact with ground in a sand storm. The aircraft struck a mountain located about 10 km short of runway threshold.",8
4971,2/6/2004,Beechcraft Super King Air 200,Military - Government of Macedonia,9.0,Skopje - Mostar,"Bitonja, Bosnia-Herzegovina",Bosnia-Herzegovina,"The twin engine aircraft crashed in the southern mountains of Bosnia in poor weather conditions, minutes away from landing at Mostar. Macedonian president, Boris Trajkovski, 47, killed along with 6 aids. Pilot error. The two-man crew misinterpreted crucial flight data in stormy weather.",19
4972,2/10/2004,Fokker F-50,Kish Airlines,43.0,Kish Island - Sharjah,"Sharjah, United Arab Emirates",United Arab Emirates,"The aircraft crashed on approach, 2 miles short of the runway while attempting an emergency landing at Sharjah. The plane crashed midway between two residential compounds. The flight data recorder showed that the two engines went into reverse 10 seconds before the accident.",21
4973,2/24/2004,Cessna Citation 500,City-Jet,6.0,Rome - Cagliari,"Cagliari, Italy",Italy,"The aircraft was on an ambulance flight to Cagliari-Elmas Airport with 2 doctors, 2 nurses and 2 crew aboard. During its approach, the aircraft struck a mountain at 3,000 ft., a few miles from the airport.",6
4974,3/1/2004,Cessna 172G,Air taxi,4.0,Trefoil Island - Smithton,"Trefoil Island, TAS, Australia",Australia,"While at an alitiude of 200 ft. and preparing to land the plane went into a nose up attitude, stalled and crashed. The investigation could not conclusively determine the reason for the excessive nose-up pitch and departure from controlled flight.",10
4975,3/4/2004,Ilyushin II-76,Azov Avia Airlines,3.0,Ankara - Baku - Kabul,,,"Shortly after taking off and climbing to about 150 feet, the aircraft pitch down and crashed into a field 4 km from the airport.",0
4976,3/10/2004,Cessna UC-35D Citation Encore,Military - United States Marine Corps,4.0,Training,"San Diego-Miramar NAS, California",USA,"On final approach at night, the aircraft crashed near Interstate 15, half- a-mile short of the runway.",11
4977,7/12/2004,Convair CV-440,Dodita Air Cargo,1.0,San Juan - Saint Martten,"Off Beef Island, British Virgin Islands",British Virgin Islands,"While en route the cargo plane experienced a fire in the right engine which led to a ditching of the plane. The plane sank in 1,000 ft. of water the copilot was rescued but the captain was never found.",23
4978,3/16/2004,Beechcraft 1900C,Military - United States Air Force,5.0,,"Tonopah, Nevada",USA,While on approach and during a turn the pilot suffered a sudden cardiadeath. Half way through the turn the airplane began a gradual descent until it impacted the ground. The airplane broke up and burst into flames. The pilot willfully deceived flight medical examiners and suppressed medical information and ingested inappropriate medications for a deteriorating and dangerous health condition.,7
4979,3/18/2004,Piper PA-32-300,Air Taxi,6.0,Hamilton Island - Lindeman Island,"Hamilton Island, QLD, Australia",Australia,Engine failure during takeoff . Cause of the engine failure could not be determined.,10
4980,3/21/2004,Bell 407,Air Ambulance - Med-Trans Corp.,4.0,"Odessa, TX - Lubbock, TX","Pyote, Texas",USA,"The helicopter impacted terrain while maneuvering in reduced visibility conditions. The pilot's inadvertent encounter with adverse weather, which resulted in the pilot failing to maintain terrain clearance. Contributing factors were the dark night conditions, the pilot's inadequate preflight preparation and planning, and the pressure to complete the mission induced by the pilot as a result of the nature of the EMS mission.",6
4981,5/2/2004,Rockwell Gulfstream Jetprop 840,Procuradoria General de la Republica,7.0,Ciudad Juarez - Mexico City,"Near Milpillas, Mexico",Mexico,"The aircraft crashed and was destroyed following a loss of control while en route at cruise altitude at 23,000 ft. after encountering unfavorable weather conditions.",7
4982,5/4/2004,Cessna 208 Grand Caravan I,Venezuelian Government,7.0,Ciudad Bolívar - Uonquén,"Chimanta mountains, Venezuela",Venezuela,"While en route, the aircraft collided with Awakapa Tepuy hill at an altitude of 7,000 feet in poor weather.",10
4983,5/5/2004,Swearingen SA227AC Metro III,Aerotransportes Petroleros,3.0,Bogota - Carepa,"Carepa, Colombia",Colombia,While on approach the plane hit the ground 300 ft. short of the runway.,9
4984,5/6/2004,Let 410UVP,Charter - Air Cush,6.0,Jiech - Ayod,"Jiech, Sudan",Sudan,"The plane crashed just seconds after taking off. It was on a mission of delivering humanitarian aid in Sudan. The cargo shifted after takeoff, causing the cg to change and the plane to stall and crash.",6
4985,5/11/2004,Antonov AN-12,El Magal Aviation,7.0,Khartoum - Juba - El Obeid,"Dalang, Sudan",Sudan,While flying in a thunderstorm the plane hit the side of a mountain. One survivor died a few hours after the accident.,6
4986,5/14/2004,Embraer 120ER Brasilia,Rico Linhas Aereas,33.0,Sao Paulo - Tefe - Manaus,"Near Manaus, Brazil",Brazil,"The plane dropped off radar at Manaus' Eduardo Gomes International Airport about 10 miles from the runway after it suspended landing procedures to allow another plane carrying sick people on the way to a hospital to land. The plane crashed in dense jungle, making it difficult for rescue crews to reach the wreckage.",7
4987,5/18/2004,PZL-MieleAN-2R,Aray-Avia,1.0,Kyzyl-Orda - Bozoy - Vozrozhdenya Island,"Bozoy, Kazakhstan",Kazakhstan,Crashed and stalled near the end of the runway while attempting to take off. The aircraft was overloaded.,11
4988,5/18/2004,Ilyushin II-76TD,AZAL Cargo Company,7.0,Taiyuan - Urumqi - Baku,"Urumqi, China",China,"About two minutes after takeoff and  while climbing, the aircraft stalled and crashed in a field 10 km from the  airport.",6
4989,5/23/2004,Let 410UVP,Blue Bird Aviation,2.0,Nairobi - Mogadiscio,"Mwingi, Kenya",Kenya,While en route the cargo plane collided with another Let 410 of the same operator. The first aircraft crashed killing both pilots while the second  made a safe landing.,6
4990,5/25/2004,de Havilland DHC-6 Twin Otter 300,Yeti Airlines,3.0,Katmandou - Lukla,"Near Lukla, Nepal",Nepal,"While on approach to Lukla, the cargo plane crashed into Lamjura Hill in heavy cloud cover. Hazardous behavior and attitudes of the captain such as over-confidence, being care-free, and non-compliance of the regulations caused the accident.",6
4991,6/8/2004,BAe HS-748-232 Srs 2A,Gabon Express,19.0,Libreville - Franceville,"Off Libreville, Gabon",Gabon,The aircraft nosedived into the sea about 100 meters off a beach shortly after taking off from Leon Mba international airport. Engine failure forced the plane back towards the airport.,6
4992,6/11/2004,EMB 820C Navajo,Air taxi - Aero Air Taxi,4.0,Belo Horizxonte - Juiz de For a,"Belo Horizonte, Brazil",Brazil,After taking off and climbing the crew noticed oil  low pressure reading and decided to return to Belo Horizonte. After completing a turn the aircraft entered a dive and crashed and burned.,7
4993,6/28/2004,Mi-8MTV-1,United Nations -  UTair Charter,24.0,Freetown - Kailahun,"Near Yengema, Sierra Leone",Sierra Leone,The helicopter crashed into a slope of a mountain in a forested area. The helicopter took off from the Sierra Leone capital but never arrived at its destination in the western city of Kailahun.,13
4994,7/2/2004,IAI 1124 Westwind,Air Trek,6.0,"Panama City, Panama  - Washington DC","Panama City, Panama",Panama,"After lifting off the runway the air ambulance pitched up vertically, the nose then lowered, and the wings rocked side to side. The lane then veered right and impacted the ground and broke up. An airport worker was killed when he was hit by the left engine.",7
4995,7/10/2004,Piper PA-31-350 Navajo Chieftain,Capital Airlines Inc.,2.0,"Waterbury,CN  - Oxford, CN","Ticonderoga, New York",USA,"While approaching Ticonderoga airport in good weather conditions, the twin engine aircraft hit trees and crashed in a wooded areas on Old Fort Mountain 4.5 miles SW of the airport. Reason for occurrence undetermined.",9
4996,7/22/2004,Sikorsky S 76,BHS - Brazilian Helicopter Service  Air Taxi,6.0,"Campos, Brazil  -  Off-shore oil rig","Off  Macaé , Rio de Janeiro , Brazil",Brazil,"During the approach to P-31 oil rig, at an altitude of 500 ft, an alarm sounded for the left turbine after which there was a loud noise. Then the main rotor and right turbine lost rotation and the helicopter crashed in the sea.",7
4997,7/29/2004,de Havilland DHC-6 Twin Otter 300,Airlines of PNG,2.0,Port Moresby - Ononge,"Ononge, Papua New Guinea",Papua New Guinea,The cargo plane diverted to Yongai airport because of bad weather but collided with trees and crashed.The loadmaster was rescued a day later.,17
4998,8/13/2004,Convair CV-580,Air Taroma,1.0,Memphis - Cincinnati,"Cincinnati, Ohio",USA,"While on approach at night,, the crew reported engine trouble. Shortly after the aircraft crashed on a golf course short of Runway 36R. Fuel starvation resulting from the captain's decision not to follow approved fuel crossfeed procedures. Contributing to the accident were the captain's inadequate preflight planning, his subsequent distraction during the flight, and contributing to the accident was the flightcrew's failure to monitor the fuel gauges and to recognize that the airplane's changing handling characteristics were caused by a fuel imbalance.",5
4999,8/17/2004,Beechcraft 99,Alpine Air Express,2.0,Billings - Kalispell,"Great Falls, Montana",USA,"The cargo plane, carrying mail on behalf of the U.S. Postal Service crashed into  the side of Big Baldy mountain in poor weather. The pilot's failure to maintain adequate terrain clearance during cruise, which resulted in the in-flight collision with mountainous terrain. Dark night conditions and mountainous terrain were contributing factors.",8
5000,8/18/2004,Cessna 208B Grand Caravan,Transworld Safaris,3.0,Goma - Walikale,"Near Goma, DemocratiRepubliCongo",DemocratiRepubliCongo,"The aircraft crashed into 11,000 ft. Nyarigongo Volcano at 8,4500 ft. in bad weather ten minutes after taking off.",22
5001,8/21/2004,Shorts 360,Military - Venezuelan Air Force,25.0,La Orchila Air Base - Maracay,"Near Maracay, Venezuela",Venezuela,"Air trafficontrollers lost contact with the plane as it was returning from the Caribbean island of La Orchila and descending through 9,500 ft. The plane crashed in a mountainous region of northeastern Venezuela in thunderstorms. The plane was carrying a mixture of military and civilian passengers.",10
5002,8/24/2004,Tupolev 154B-2,Sibir Airlines,46.0,Moscow - Sochi,"Near Rostov-on-Don, Russia",Russia,The plane crashed 19 minutes after taking off from Moscow. It crashed almost simultaneously with a Volga-Avia Express Tupolov134 which crashed at 22:56. Detonation of an exposive device aboard.,7
5003,8/24/2004,Tupolev 134A-3,Volga-Avia Express,41.0,Moscow - Volograd,"Near Toula, Russia",Russia,The plane crashed 26 minutes after taking off from Moscow. Witnesses stated they saw the plane explode in midair before crashing. It crashed almost simultaneously with a Sibir Tupolov154 which crashed at 22:59. Detonation of an exposive device aboard.,7
5004,8/27/2004,de Havilland DHC-3 Otter,Mavrik Aire Transport,1.0,Kenai - McGrath - Kotzebue,"Near MGrath, Alaska",USA,"Thirty minutes after departure from McGrath, the pilot encountered low visibility due to smoke and fog. After deciding to fly at a lower altitude, the aircraft struck trees and crashed into a forest. Rescue teams found the bodies and the survivors 2 days later. The pilot's inadequate in-flight planning/decision making, his continued VFR flight into instrument meteorological conditions, and his failure to maintain obstacle clearance. Factors contributing to the accident were low ceilings due to smoke, rain, and mist.",7
5005,9/9/2004,Rockwell CT-39A Sabreliner,Jett Paqueteria SA,2.0,Mexico City - Villahermosa,"Villahermosa, Mexico",Mexico,On final approach the cargo flight crashed in a wooded area 3 km from the runway and was destroyed.,7
5006,9/11/2004,CH-47D Chinook,Military - Greek Army,17.0,Athens - Mount Athos,"Off Mount Athos, Greece",Greece,"The helicopter crashed into the Aegean Sea, 5.5 nautical miles off Halkidiki peninsula.  Patriarch Petros VII of Alexandria , Egypt, spiritual leader of orthodox Christians throughout Africa, killed along with other clergy.",7
5007,9/29/2004,Pilatus-Britten Norman BN-2A-27 Islander,Air Flamence,1.0,Mayaguez - San Juan,"Tortuguero lagoon, Puerto Rico",Puerto Rico,"The cargo plane hit a heavy rain shower before losing control and crashing into Toruuguero lagoon. The pilot's improper inflight planning which resulted in an inflight encounter with weather (low ceilings and thunderstorms), his loss of aircraft control, and an inflight collision with the ocean during uncontrolled descent.",12
5008,10/5/2004,Antonov AN-12,Sarit Airlines,4.0,El Obeid - Juba,"Kaduqli, Sudan",Sudan,The cargo plane reported an engine failure and tried to divert to the nearest airport but crashed and burned in a wooded area about 50 km from Kaduqli.,6
5009,11/22/2004,Grumman Gulfstream G3,Business Jet Services,3.0,Dallas - Houston,"Houston, Texas",USA,"While on final approach, the aircraft struck a light pole located 1.5 mile short of Runway 04 in thick fog and crashed in a nearby field. The flight crew's failure to adequately monitor and cross check the flight instruments during the approach. Contributing to the accident was the flight crew's failure to select the instrument landing system frequency in a timely manner and to adhere to approved company approach procedures, including the stabilized approach criteria.",6
5010,11/27/2004,CASA 212-CC,Presidental Airways Inc. - Air Taxi,6.0,"Bagram - Farah, Afghanstan","Near Bagram, Afghanstan",Afghanstan,"Crashed into a mountain 80 miles west of Bagram while en route. The wreckage site was located a the 14,000 ft. level of a 16,739 ft. mountain. The crew deliberately avoided the standard route and took a joy ride in another direction, eventually becoming trapped in a canyon and slamming into a mountainside.",11
5011,10/14/2004,Canadair CRJ200LR RegionalJet,Pinnacle Airlines/Northwest Airlink,2.0,Little Rock - Minneapolis,"Jefferson City, Missouri",USA,"On a night repositioning flight, while en route, the stick shaker activated several times before the plane entered a aerodynamistall. Almost simultaneously both engines stopped. The crew declared an emergency but the plane did not make the airport, crashed and broke up. PC:  The pilots' unprofessional behavior, deviation from standard operating procedures, and poor airmanship, which resulted in an in-flight emergency from which they were unable to recover, in part because of the pilots' inadequate training The pilots' failure to prepare for an emergency landing in a timely manner, including communicating with air trafficontrollers immediately after the emergency about the loss of both engines and the availability of landing sites and the pilots' failure to achieve and maintain the target airspeed in the double engine failure checklist, which caused the engine cores to stop rotating and resulted in the core lock engine condition. Contributing to this accident was the engine core lock condition, which prevented at least one engine from being restarted, and the airplane flight manuals that did not communicate to pilots the importance of maintaining a minimum airspeed to keep the engine cores rotating.",9
5012,10/14/2004,Boeing 747-244B-SF,MK Airlines,7.0,"Windsor Locks - Halifax - Zaragoza, Spain","Halifax, Nova Scotia, Canada",Canada,"The cargo plane did not gain altitude and ran off the end of the runway and crashed into a forest. The aircraft's lower aft fuselage struck a berm supporting a localizer antenna, resulting in the tail separating from the aircraft, rendering the aircraft uncontrollable. The incorrect V speeds and thrust setting were too low to enable the aircraft to take off safely for the actual weight of the aircraft. The pilots of MKA1602 did not carry out the gross error check in accordance with the company's standard operating procedures (SOPs), and the incorrect take-off performance data were not detected. Crew fatigue.",7
5013,10/15/2004,Douglas DC-3C,Aerovanguardia,3.0,Villavicencio - Medellin,"Near Medellin, Colombia",Colombia,"During descent in poor weather, the cargo plane struck a mountain near the airport.",9
5014,10/16/2004,Pilatus Britten-Norman BN-2A-21 Islander,PacifiAir,2.0,Coron Island - Manila,"Coron Island, Philippines",Philippines,"A few minutes after takeoff, the cargo plane struck the side Tagbao mountain a few  kilometers from the airport.",12
5015,10/19/2004,Bae Jetstream 3201,Corporate Airlines (American Connection),13.0,"St. Louis, MO - Kirkville, MO","Near Kirksville, Missouri",USA,"The turboprop crashed 4 miles south of Kirksville while on approach to Kirksville Municipal Airport. The plane clipped tree tops before crashing on its belly into a wooded area. Data show the plane descending then climbing slightly in the last four seconds before impact. The plane lacked a modern terrain warning system which would have been required equipment the next year. The pilots' failure to follow established procedures and properly conduct a nonprecision instrument approach at night in instrument meteorological conditions, including their descent below the minimum descent altitude before required visual cues were available (which continued unmoderated until the airplane struck the trees) and their failure to adhere to the established division of duties between the flying and nonflying pilots. Contributing to the accident were the pilots' failure to make standard callouts and the current Federal Aviation Regulations that allow pilots to descend below the MDA into a region in which safe obstacle clearance is not assured based upon seeing the airport approach lights. The pilots' failure to establish and maintain a professional demeanor during the flight and their fatigue likely contributed to their degraded performance.",9
5016,10/24/2004,Beech 200 Super King Air,Private - Hendrick Motorsports Inc.,10.0,"Concord, NC - Martinsville, VA","Martinsville, Virginia",USA,"The plane struck a steep incline in the Bull Mountain area seven miles from the Blue Ridge Regional Airport in heavy fog. Wreckage was confined to an area of approximately 200 ft. long. Killed in the crash were members of the Hendrick Motorsports racing team including the son, brother and two nieces of owner Rick Hendrick. Failure of the crew to properly execute the published instrument approach procedure. A contributing cause was the crew's failure to use all navigational aids to confirm and monitor their position during the approach.",9
5017,10/24/2004,Learjet 35A,Med Flight Air Ambulance - Private,5.0,"San Diego, CA - Albuquerque, NM","San Diego, California",USA,"Two minutes after taking off, the air ambulance crashed into Otay peak,  in an isolated area of mountains, 8 miles east of Brown Field Municipal Airport. Dark night visual conditions prevailed. The controller's Minimum Safe Altitude Warning System issued and alert during the last two radar returns. The air trafficontroller failed to alert the crew to altitude warnings as the plane was on track to fly into a mountain. The controller identified the airplane on the radar screen and instructed crew members to expect clearance above 5,000 feet, but then issued a heading that resulted in a flight track directly into the mountains. The mountain is at 3,556 feet altitude. Also, the flight crew did not follow the recommended departure procedures for taking off at night and in mountainous terrain. Failure of the flightcrew to maintain terrain clearance during a VFR departure, which resulted in controlled flight into terrain, and the air trafficontroller's issuance of a clearance that transferred the responsibility for terrain clearance from the fllightcrew to the controller. The controller's failure to provide terrain clearance instructions to the flightcrew, and failure to advise the flightcrew of minimum safe altitude warning alerts. Contributing to the accident was the pilots' fatigue which likely contributed to their degraded decision making.",11
5018,11/18/2004,BAe 3101 Jetstream 31,Venezolana,3.0,El Vigia - Caracas,"Caracas, Venezuela",Venezuela,"The aircraft was arriving on runway 09 at Simon Bolivar Airport when it departed the right side of the runway and cashed into the airport fire house. Weather at the time of the accident was poor, with low ceiling and torrential rain.",10
5019,11/21/2004,Bambardier CRJ200,China Eastern Airlines,53.0,Baotou - Shanghai,"Baotou, Inner Mongolia, China",China,"The aircraft crashed into a frozen lake in Nanhai Park, 10 seconds after taking off. Ice pollution of the wings of the aircraft led to the accident. Failure to deice the plane.",6
5020,11/28/2004,Canadair CL-601-2A12 Challenger,Glow Air/Air Castle - Charter,3.0,"Montrose, CO - South Bend, IN","Montrose, Colorado",USA,"While attempting to take off from R31, the aircraft skidded sideways off the runway and went through a perimeter fence, ripping the cockpit from the fuselage and bursting into flames. There was light snow falling with fog and reduced visibility at the time of the accident.  Also, the pilot chose to take off from a 7,500 ft. runway rather than wait for the 10,000 ft. runway to be plowed. The youngest son of NBC sports chairman Dick Ebersol and actress Susan Saint James killed. St. James had just exited the accident vehicle before it took off. The flightcrew's failure to ensure that the airplane's wings were free of ice or snow contamination that accumulated while the airplane was on the ground, which resulted in an attempted takeoff with upper wing contamination that induced the a subsequent stall and collision with the ground. A factor contributing to the accident was the pilots' lack of experience flying during winter weather conditions.",9
5021,11/30/2004,McDonnell-Douglas MD-82,Lion Air,26.0,"Jakarta, Indonesia - Solo, Indonesia","Solo, Indonesia",Indonesia,"While attempting to land, the plane overran the runway and crashed through the airport barrier fence, into a rice field, broke in two and  came to rest at a cemetery, 300 meters beyond the runway. Bad weather and a malfunctioning spoiler may have caused the crash.",10
5022,11/30/2004,HBB HFB-320 Hansa Jet,Grand Aire,2.0,Saint Louis - Toledo,"Saint Louis, Missouri",USA,Shortly after taking off the plane lost altitude and crashed on Howell Island a few miles from the airport. The maintenance facility failed to properly install and inspect the elevator trim system resulting in the reversed elevator trim condition and the pilot's failure to maintain clearance with the terrain. Contributing factors included the dark night and low ceiling.,9
5023,12/6/2004,Cesna 208 Caravan,Salmon Air - Air Taxi,2.0,"Salt Lake City, UT - Sun Valley, ID","Bellevue, Idaho",USA,The aircraft crashed and burned while on approach to Runway 31 at Friedman Memorial Airport. The pilot's failure to maintain aircraft control while on approach for landing in icing conditions. Inadequate airspeed was a factor.,6
5024,12/7/2004,Cessna TU206G,SAVIARE S.A. - Air Taxi,6.0,,"Near La Macarena, Colombia",Colombia,Destroyed upon impact with terrain. Visual meteorological conditions prevailed for the flight for which a visual flight rules (VFR) flight plan was filed.,9
5025,12/10/2004,PZL-MieleM28,Guardia Nacional de Venezuela,16.0,Puerto Ayacucho - La Carlota,"El Junquito, Venezuela",Venezuela,Crashed while en route in mountainous terrain.,10
5026,12/11/2004,Embraer EMB-110 Bandeirante,NHR Táxi-Aéreo,2.0,Sao Paulo - Uberaba,"Uberaba, Brazil",Brazil,"The crew was performing a mail flight under Total Linhas Aéreas from Sao Paulo-Guarulhos airport to Uberaba. While on final approach at night, the cargo plane crashed into houses located short of runway and burned.",7
5027,12/11/2004,Ilyushin II-76TD,Airline Transport,1.0,Baku - Kabul,"Near Jeddah, Saudi Arabia",Saudi Arabia,A forward emergency exit opened in flight causing one of the crew members to be sucked out. An emergency landing was made in Jeddah.,13
5028,1/13/2005,Black Hawk helicopter,Military - Colombian government,20.0,,"Manguipayan, Colombia",Colombia,The helicopter was on a counter-narcotics mission when it crashed in heavy fog.,9
5029,1/13/2005,Antonov AN-2,Tura Air Enterprise,9.0,Vanavara - Tura,"Tura,Siberia, Russia",Russia,The aircraft disappeared from radar as it was attempting to land. It crashed into a hill 6 miles from its destination. Poor weather conditions existed at the time of the accident.,7
5030,1/13/2005,Embraer EMB-110 Bandeirante,AirNow,1.0,"Bangor, ME - Concord, NH","Keene, New Hampshire",USA,"The cargo plane diverted to Keene due to poor weather. During the final approach at night, the plane hit the ground short of Runway 02 and was destroyed.",14
5031,1/26/2005,CH53E Sea Stallion,Military - U.S. Marines,31.0,Ferrying troops,"Rutbah, Iraq",Iraq,The helicopter crashed in rain and a sandstorm.,5
5032,1/27/2005,Let 410UVP-E4,Farnair Hungary,2.0,Bucharest -Lasi,"Lasi, Hungary",Hungary,The cargo plane was attempting to land in a snowstorm when it turned left and descended until it crashed a mile from the airport.,8
5033,1/30/2005,Lockheed Hercules C.1,Military - Royal Air Force,10.0,Bagdad - Balad,"Near Al Taji, Iraq",Iraq,"The plane was flying at a low level when it was hit by enemy fire. The right wing separated from the fuselage and the plane lost control, crashed and was destroyed.",5
5034,2/3/2005,Boeing B-737-200,Kam Air,104.0,Herat - Kabul,"Near Peshawar, Pakistan",Pakistan,"Unable to land at Kabul because of a blizzard, the crew tried to reach Peshawar, Pakistan but crashed into 11,000 ft. Chaperi Mountain near Kabul.",9
5035,2/3/2005,Ilyushin 76TD,Air West,7.0,Sharjah - Khartoum - Nyala,"Near Khartoum, Sudan",Sudan,"After developing fuel system problems the cargo flight carrying humanitarian goods, was advised to land at Aad Babaker. The plane did not make it and crashed 15 km east of Khartoum.",6
